Participant,uppercase value,maps to body part concept,maps to preservation type concept,in language,with n (Occurrences) =,,,,,,,,,,,,,,,,notes
Irene Engilis,FLUID - ; SYRINX REMOVED - PFC,WHOLE_BODY,FLUID,,29,,,,,,,,,,,,,,,,
Irene Engilis,FLUID - VISCERA ONLY,VISCERA,FLUID,,1,,,,,,,,,,,,,,,,
Irene Engilis,"HEART, LIVER, MUSCLE (ETHANOL)",HEART | LIVER | MUSCLE,ETHANOL | ETHANOL | ETHANOL,,2,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - ; COMPLETE INCOMPLETE,SKELETON,X,,1,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - ; LEG AND WING BONES,HINDLIMB | FORELIMB,X,,2,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - ; PELVIS,PELVIS,X | X,,5,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - ; SKULL & BODY PARTS,SKELETON,X,,1,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - ; STERNUM & LEG,STERNUM | HINDLIMB,X,,3,,,,,,,,,,,,,,,,
Irene Engilis,SKELETON - BODY (NO HEAD),TRUNK,X,,1,,,,,,,,,,,,,,,,
Irene Engilis,SKIN - ; BODY SKELETON,SKIN | SKELETON_PARTIAL ,X | X,,1,,,,,,,,,,,,,,,,
Irene Engilis,"SKIN - ; MUMMY, ""NOT SKINNED BUT SIMPLY DRIED UP""",SKIN,MUMMIFIED,,1,,,,,,,,,,,,,,,,
Irene Engilis,SKIN - ; SPREAD WINGS (BOTH),SKIN | WING,X | X,,1,,,,,,,,,,,,,,,,
Andy Jones,--/SKEL(1981 0513),SKELETON,X,,1,,,,,,,,,,,,,,,,
Andy Jones,[PREPARATIONMATERIALS:] L 9 | PREPARATIENUMMER: 092.326B,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,10% FORM.->70% ALC. (OUTERMOST 3 PRIMARIES REMOVED FOR WIND-TUNNEL EXPERIMENT (CHRISTOPHER J. CLARK)),WHOLE_BODY | FEATHER,ETHANOL70 | X,,1,,,,,,,,,,,,,,,,
Andy Jones,2 EGGS,EGG,X,,62,,,,,,,,,,,,,,,,
Andy Jones,4 PEDAL PHALANGES,HINDLIMB,X,,1,,,,,,,,,,,,,,,,
Andy Jones,8 EGGS,EGG,X,,2,,,,,,,,,,,,,,,,
Andy Jones,A. E. BOURGUIGNON,blank,,,16,,,,,,,,,,,,,,,,
Andy Jones,A. R. PHILLIPS 3397,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,A. RUCHTY 001,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,A. RUCHTY 009,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,A. WALKER,blank,,,19,,,,,,,,,,,,,,,,
Andy Jones,ALCOHOLIC - 1; EGGS - 1,EGG,X,,4,,,,,,,,,,,,,,,,
Andy Jones,ALCOHOLIC - 1; SKIN - 1; TISSUE - 100; SYRINX - 1,WHOLE_BODY_PARTIAL | SKIN | TISSUE | SYRINX,FLUID | X,,1,,,,,,,,,,,,,,,,
Andy Jones,ANATÓMICO,WHOLE_BODY,UNKNOWN,,543,,,,,,,,,,,,,,,,
Andy Jones,B. JENSEN 014,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 021,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 080,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1094,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1129,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1402,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1404,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1406,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 1502,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 2576,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 469,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 872,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. K. SCHMIDT 900,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,B. SCHMIDT,blank,,,15,,,,,,,,,,,,,,,,
Andy Jones,BLOOD (FLASH-FROZEN); BLOOD (FLASH-FROZEN) SAMPLE,BLOOD | BLOOD,FLASH_FROZEN | FLASH FROZEN,,1,,,,,,,,,,,,,,,,
Andy Jones,BODY MOUNT (TAXIDERMY MOUNT),WHOLE_BODY,MOUNT,EN,1677,,,,,,,,,,,,,,,,
Andy Jones,"BREAST, LIVER, MUSCLE",MUSCLE | LIVER | MUSCLE,X | X | X,,2,,,,,,,,,,,,,,,,
Andy Jones,C. C. TODD 01,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. D. SPAW,blank,,,3,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 07,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 186,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 236,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 297,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 303,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 328,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 509,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 526,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 603,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 698,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 709,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 776,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 829,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. E. CRAIGHEAD 94,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. K. WORTHEN,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,C. O. REIS,blank,,,6,,,,,,,,,,,,,,,,
Andy Jones,C.MIDDLETON & G.D.ALCORN,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,"COECUM, DISSECTED (IN SPIRIT)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,COMPLETE SKEL + MISC: FEATHERS,,,,3,,,,,,,,,,,,,,,,
Andy Jones,CRÁNEO Y ESTERNÓN,,,,3,,,,,,,,,,,,,,,,
Andy Jones,D. B. BULL,blank,,,9,,,,,,,,,,,,,,,,
Andy Jones,D. F. PARMELEE 229,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. M. SCOTT,blank,,,4,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 1949,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 1953,blank,,,1,,,,,,,,,,,,,,,,
