"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Moe Flannery","0","blank","not specified","organismQuantity, organismQuantityType","","",1,"0","",0,"UNSPECIFIED"
"Andrew Engilis","1","blank","not specified","organismQuantity, organismQuantityType","","",3,"1","",0,"UNSPECIFIED"
"Paul Robert Sweet","2","UNKNOWN","not specified","sex","hidden","EN",2,"2","",0,"UNSPECIFIED"
"Emily Braker","3","blank","not specified","organismQuantity, organismQuantityType","","",174,"3","",0,"UNSPECIFIED"
"Emily Braker","5","blank","not specified","organismQuantity, organismQuantityType","","",1,"5","",0,"UNSPECIFIED"
"Moe Flannery","7","blank","not specified","organismQuantity, organismQuantityType","","EN",1,"7","",0,"UNSPECIFIED"
"Mark B Robbins","32.5","blank","not specified","sex, dynamicProperties","hidden","EN",1,"32.5","",0,"UNSPECIFIED"
"Mark B Robbins","_","blank","not specified","sex","hidden","",2,"_","",0,"UNSPECIFIED"
"Serina Brady","-","UNKNOWN","not specified","sex","hidden","EN",243,"-","",0,"UNSPECIFIED"
"René Corado","--","UNKNOWN","not specified","sex","hidden","EN",2747,"--","",0,"UNSPECIFIED"
"Carla Cicero","?","UNKNOWN","not specified","sex","hidden","EN",15762,"?","",0,"INDETERMINATE"
"Elizabeth Wommack","? *","UNKNOWN","not specified","sex","hidden","EN",1,"? *","",0,"INDETERMINATE"
"Jessica Tir","? JOV.","UNKNOWN","not specified","lifeStage, dynamicProperties","hidden","ES",3,"? JOV.","",0,"INDETERMINATE"
"Rachel Alsheikh","?*","UNKNOWN","not specified","sex","hidden","EN",4,"?*","",0,"INDETERMINATE"
"Erica Krimmel","?MALE","MALE","","sex, dynamicProperties","hidden","EN",2,"?MALE","",0,"INDETERMINATE"
"Mike Andersen ","¿HEMBRA?","FEMALE","","sex, dynamicProperties","hidden","ES",3,"¿HEMBRA?","",0,"INDETERMINATE"
"Jean Woods","¿MACHO?","MALE","","sex, dynamicProperties","hidden","ES",1,"¿MACHO?","",0,"INDETERMINATE"
"Mimi Damwyk","""FEMALE""","FEMALE","female","sex","hidden","EN",1,"""FEMALE""","",0,"FEMALE"
"Irene Engilis","""FEMELLE : ? (ORIG. : """"MÂLE"""")""","FEMALE","","sex, dynamicProperties","hidden","FR",1,"""FEMELLE : ? (ORIG. : """"MÂLE"""")""","",0,"INDETERMINATE"
"Irene Engilis","""FEMELLE : """"OVAIRES GRANULEUX""""""","FEMALE","","sex, dynamicProperties","hidden","FR",1,"""FEMELLE : """"OVAIRES GRANULEUX""""""","",0,"FEMALE"
"Kelly Cassidy","""M""","Male","","sex, dynamicProperties","hidden","EN",1,"""M""","",0,"MALE"
"Elizabeth Wommack","(F)","FEMALE","","sex","hidden","EN",2,"(F)","",0,"FEMALE"
"Brett Benz","(M) SEE NOTE","MALE","","sex, dynamicProperties","hidden","EN",1,"(M) SEE NOTE","",0,"MALE"
"Christopher C Witt","(M)?","MALE","","sex, dynamicProperties","hidden","EN",1,"(M)?","",0,"INDETERMINATE"
"Tom Trombone","(UNSEXED)","UNKNOWN","","sex","hidden","EN",1,"(UNSEXED)","",0,"UNKNOWN"
"Brett Benz","[F?]","FEMALE","","sex, dynamicProperties","hidden","EN",1,"[F?]","",0,"INDETERMINATE"
"Elizabeth Wommack","[F]","FEMALE","female","sex","hidden","EN",454,"[F]","",0,"FEMALE"
"Rachel Alsheikh","[FEMALE?]","FEMALE","","sex, dynamicProperties","hidden","EN",91,"[FEMALE?]","",0,"INDETERMINATE"
"Mimi Damwyk","[FEMALE]","FEMALE","female","sex","hidden","EN",1697,"[FEMALE]","",0,"FEMALE"
"Moe Flannery","[M]","MALE","","sex","hidden","EN",767,"[M]","",0,"MALE"
"Jeremiah Trimble","[MACHO]","MALE","","sex, dynamicProperties","hidden","ES",1,"[MACHO]","",0,"MALE"
"Lesley Kennes","[MALE?]","MALE","","sex, dynamicProperties","hidden","EN",88,"[MALE?]","",0,"INDETERMINATE"
"Chris Milensky","[MALE]","MALE","","sex","hidden","EN",2608,"[MALE]","",0,"MALE"
"Kimball Garrett","[MALE], [FEMALE]","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,"[MALE], [FEMALE]","",0,"MIXED"
"Emily Braker","*","blank","not specified","sex","","",19,"*","",0,"UNSPECIFIED"
"Mike Andersen ","/","blank","not specified","","","",1,"/","",0,"UNSPECIFIED"
"John Bates","0,","UNKNOWN","","sex","hidden","EN",1,"0,","",0,"UNSPECIFIED"
"Emily Braker","1 HEMBRA, 3 INDETERMINADOS","FEMALE | UNKNOWN","female","sex, organismQuantity","hidden","ES",1,"1 HEMBRA, 3 INDETERMINADOS","",0,"MIXED"
"Jean Woods","1 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",52,"1 MALE | 1 FEMALE","",0,"MIXED"
"Peter Hosner","1 MALE | 2 FEMALE","UNKNOWN","","sex","hidden","EN",6,"1 MALE | 2 FEMALE","",0,"MIXED"
"Irene Engilis","1 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",1,"1 MALE | 3 FEMALE","",0,"MIXED"
"Erica Krimmel","1 MALE | 5 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"1 MALE | 5 FEMALE","",0,"MIXED"
"Lesley Kennes","1 MALE, 1 FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",1,"1 MALE, 1 FEMALE","",0,"MIXED"
"Tom Trombone","1 MALE; 1 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",2,"1 MALE; 1 FEMALE","",0,"MIXED"
"Erick Alejandro García-Trejo","10 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",37,"10 UNDETERMINED","",0,"UNKNOWN"
"Brian Schmidt","11 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",22,"11 UNDETERMINED","",0,"UNKNOWN"
"Elizabeth Wommack","12 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",20,"12 UNDETERMINED","",0,"UNKNOWN"
"Paul Robert Sweet","13 UNDETERMINED","UNKNOWN","","sex","hidden","EN",16,"13 UNDETERMINED","",0,"UNKNOWN"
"Molly Hagemann","14 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",6,"14 UNDETERMINED","",0,"UNKNOWN"
"Town Peterson","15 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",8,"15 UNDETERMINED","",0,"UNKNOWN"
"Tamaki Yuri","16 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",7,"16 UNDETERMINED","",0,"UNKNOWN"
"Jean Woods","17 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"17 UNDETERMINED","",0,"UNKNOWN"
"Jeremiah Trimble","18 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"18 UNDETERMINED","",0,"UNKNOWN"
"Erick Alejandro García-Trejo","19 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",1,"19 UNDETERMINED","",0,"UNKNOWN"
"Kelly Cassidy","1ÈRE ANNÉE","UNKNOWN","","lifeStage","hidden","FR",1,"1ÈRE ANNÉE","",0,"UNSPECIFIED"
"John Bates","2 FEMALE","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"2 FEMALE","",0,"MIXED"
"Jessica Tir","2 HEMBRAS","FEMALE","female","organismQuantity, organismQuantityType","hidden","ES",1,"2 HEMBRAS","",0,"UNSPECIFIED"
"Angela Hornsby","2 INDETERMINADOS, 1 HEMBRA","UNKNOWN | FEMALE","female","sex","hidden","ES",1,"2 INDETERMINADOS, 1 HEMBRA","",0,"MIXED"
"Mike Andersen ","2 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",9,"2 MALE | 1 FEMALE","",0,"MIXED"
"Ildiko Szabo","2 MALE | 2 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",3,"2 MALE | 2 FEMALE","",0,"MIXED"
"Irene Engilis","2 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",3,"2 MALE | 3 FEMALE","",0,"MIXED"
"Brett Benz","2 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1160,"2 UNDETERMINED","",0,"UNKNOWN"
"Jeremiah Trimble","20 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",5,"20 UNDETERMINED","",0,"UNKNOWN"
"Emily Braker","21 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",2,"21 UNDETERMINED","",0,"UNKNOWN"
"Jessica Tir","26 UNDETERMINED","UNKNOWN","","organismQuantity, organismQuantityType","hidden","EN",1,"26 UNDETERMINED","",0,"UNKNOWN"
"Serina Brady","27 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"27 UNDETERMINED","",0,"UNKNOWN"
"Laura Abraczinskas","3 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"3 MALE | 1 FEMALE","",0,"MIXED"
"Tamaki Yuri","3 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",1,"3 MALE | 3 FEMALE","",0,"MIXED"
"Tom Trombone","3 UNDETERMINED","UNKNOWN","","sex","hidden","EN",1350,"3 UNDETERMINED","",0,"UNKNOWN"
"Mike Andersen ","30 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"30 UNDETERMINED","",0,"UNKNOWN"
"Elizabeth Wommack","38 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"38 UNDETERMINED","",0,"UNKNOWN"
"Mike Andersen ","3MALE","MALE","","sex","hidden","EN",1,"3MALE","",0,"MALE"
"Ildiko Szabo","4 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,"4 MALE | 1 FEMALE","",0,"MIXED"
"Christopher C Witt","4 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",1470,"4 UNDETERMINED","",0,"UNKNOWN"
"Carla Cicero","40 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"40 UNDETERMINED","",0,"UNKNOWN"
"Rachel Alsheikh","5 MALE | 2 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",2,"5 MALE | 2 FEMALE","",0,"MIXED"
"John Bates","5 UNDETERMINED","UNKNOWN","","sex","hidden","EN",756,"5 UNDETERMINED","",0,"UNKNOWN"
"Molly Hagemann","6 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",254,"6 UNDETERMINED","",0,"UNKNOWN"
"Mark B Robbins","7 UNDETERMINED","UNKNOWN","","sex","hidden","EN",93,"7 UNDETERMINED","",0,"UNKNOWN"
"Irene Engilis","8 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",63,"8 UNDETERMINED","",0,"UNKNOWN"
"Peter Hosner","9 MALE | 5 FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",1,"9 MALE | 5 FEMALE","",0,"MIXED"
"Elizabeth Wommack","9 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",46,"9 UNDETERMINED","",0,"UNKNOWN"
"Jessica Tir","AD.","blank","not specified","lifeStage","","EN",9,"AD.","",0,"UNSPECIFIED"
"Paul Robert Sweet","AD.+JUV.","UNKNOWN","","sex, lifeStage","hidden","EN",2,"AD.+JUV.","",0,"UNSPECIFIED"
"Serina Brady","ADULT","blank","not specified","lifeStage","","EN",28,"ADULT","",0,"UNSPECIFIED"
"Molly Hagemann","ASD","blank","not specified","lifeStage","","",1,"ASD","",0,"UNSPECIFIED"
"Mimi Damwyk","BANDO","blank","not specified","sex","hidden","EN",4,"BANDO","",0,"UNSPECIFIED"
"Serina Brady","C","blank","not specified","","","EN",1,"C","",0,"UNSPECIFIED"
"Stephen Rogers","CASAL","","","sex, dynamicProperties","hidden","PT",4,"CASAL","",0,"UNSPECIFIED"
"Jean Woods","COUPLE","MALE | FEMALE","mixed","sex","hidden","EN",495,"COUPLE","",0,"UNSPECIFIED"
"Kelly Cassidy","D","UNKNOWN","","sex","hidden","",4,"D","",0,"UNSPECIFIED"
"Town Peterson","DESCONEGUT","UNKNOWN","","sex","preferred","CA",66,"DESCONEGUT","",0,"UNKNOWN"
"Tamaki Yuri","DESCONOCIDO","UNKNOWN","","sex","preferred","ES",52,"DESCONOCIDO","",0,"UNSPECIFIED"
"Jessica Tir","DOUBTFUL GENDER","UNKNOWN","","sex","hidden","EN",814,"DOUBTFUL GENDER","",0,"UNSPECIFIED"
"Andrew Engilis","E","blank","not specified","sex, dynamicProperties","","",2,"E","",0,"UNSPECIFIED"
"Jessica Tir","F","FEMALE","female","sex","alternate","EN",194269,"F","1",194269,"FEMALE"
"Tonya Haff","F ?","FEMALE","","sex, dynamicProperties","hidden","EN",1,"F ?","",0,"INDETERMINATE"
"Philip Unitt","F F","FEMALE","female","sex","hidden","EN",2,"F F","",0,"FEMALE"
"Town Peterson","F IM.","FEMALE","female","sex, lifeStage","hidden","EN",2,"F IM.","",0,"FEMALE"
