"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Moe Flannery","0","blank","not specified","organismQuantity, organismQuantityType","","",1,"0","",0,"blank"
"Andrew Engilis","1","blank","not specified","organismQuantity, organismQuantityType","","",3,"1","",0,"blank"
"Paul Robert Sweet","2","UNKNOWN","not specified","sex","hidden","EN",2,"2","",0,"blank"
"Emily Braker","3","blank","not specified","organismQuantity, organismQuantityType","","",174,"3","",0,"blank"
"Emily Braker","5","blank","not specified","organismQuantity, organismQuantityType","","",1,"5","",0,"blank"
"Moe Flannery","7","blank","not specified","organismQuantity, organismQuantityType","","EN",1,"7","",0,"blank"
"Mark B Robbins","32.5","blank","not specified","sex, dynamicProperties","hidden","EN",1,"32 5","",0,"blank"
"Mark B Robbins","_","blank","not specified","sex","hidden","",2,NA,"",0,"blank"
"Serina Brady","-","UNKNOWN","not specified","sex","hidden","EN",243,NA,"",0,"blank"
"René Corado","--","UNKNOWN","not specified","sex","hidden","EN",2747,NA,"",0,"blank"
"Carla Cicero","?","UNKNOWN","not specified","sex","hidden","EN",15762,NA,"",0,"blank"
"Elizabeth Wommack","? *","UNKNOWN","not specified","sex","hidden","EN",1,NA,"",0,"blank"
"Jessica Tir","? JOV.","UNKNOWN","not specified","lifeStage, dynamicProperties","hidden","ES",3,"JOV","",0,"blank"
"Rachel Alsheikh","?*","UNKNOWN","not specified","sex","hidden","EN",4,NA,"",0,"blank"
"Erica Krimmel","?MALE","MALE","","sex, dynamicProperties","hidden","EN",2,NA,"",0,"MIXED"
"Mike Andersen ","¿HEMBRA?","FEMALE","","sex, dynamicProperties","hidden","ES",3,NA,"",0,"FEMALE"
"Jean Woods","¿MACHO?","MALE","","sex, dynamicProperties","hidden","ES",1,NA,"",0,"MIXED"
"Mimi Damwyk","""FEMALE""","FEMALE","female","sex","hidden","EN",1,NA,"",0,"FEMALE"
"Irene Engilis","""FEMELLE : ? (ORIG. : """"MÂLE"""")""","FEMALE","","sex, dynamicProperties","hidden","FR",1,"ORIG      MÂLE","",0,"FEMALE"
"Irene Engilis","""FEMELLE : """"OVAIRES GRANULEUX""""""","FEMALE","","sex, dynamicProperties","hidden","FR",1,"OVAIRES GRANULEUX","",0,"FEMALE"
"Kelly Cassidy","""M""","Male","","sex, dynamicProperties","hidden","EN",1,"M","",0,"blank"
"Elizabeth Wommack","(F)","FEMALE","","sex","hidden","EN",2,"F","",0,"blank"
"Brett Benz","(M) SEE NOTE","MALE","","sex, dynamicProperties","hidden","EN",1,"M  SEE NOTE","",0,"blank"
"Christopher C Witt","(M)?","MALE","","sex, dynamicProperties","hidden","EN",1,"M","",0,"blank"
"Tom Trombone","(UNSEXED)","UNKNOWN","","sex","hidden","EN",1,"UNSEXED","",0,"blank"
"Brett Benz","[F?]","FEMALE","","sex, dynamicProperties","hidden","EN",1,"F","",0,"blank"
"Elizabeth Wommack","[F]","FEMALE","female","sex","hidden","EN",454,"F","",0,"blank"
"Rachel Alsheikh","[FEMALE?]","FEMALE","","sex, dynamicProperties","hidden","EN",91,NA,"",0,"FEMALE"
"Mimi Damwyk","[FEMALE]","FEMALE","female","sex","hidden","EN",1697,NA,"",0,"FEMALE"
"Moe Flannery","[M]","MALE","","sex","hidden","EN",767,"M","",0,"blank"
"Jeremiah Trimble","[MACHO]","MALE","","sex, dynamicProperties","hidden","ES",1,NA,"",0,"MIXED"
"Lesley Kennes","[MALE?]","MALE","","sex, dynamicProperties","hidden","EN",88,NA,"",0,"MIXED"
"Chris Milensky","[MALE]","MALE","","sex","hidden","EN",2608,NA,"",0,"MIXED"
"Kimball Garrett","[MALE], [FEMALE]","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,NA,"",0,"MIXED"
"Emily Braker","*","blank","not specified","sex","","",19,NA,"",0,"blank"
"Mike Andersen ","/","blank","not specified","","","",1,NA,"",0,"blank"
"John Bates","0,","UNKNOWN","","sex","hidden","EN",1,"0","",0,"blank"
"Emily Braker","1 HEMBRA, 3 INDETERMINADOS","FEMALE | UNKNOWN","female","sex, organismQuantity","hidden","ES",1,"1 HEMBRA; 1   3 INDETERMINADOS","",0,"FEMALE"
"Jean Woods","1 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",52,"1 MALE; 1 FEMALE; 1    1","",0,"MIXED"
"Peter Hosner","1 MALE | 2 FEMALE","UNKNOWN","","sex","hidden","EN",6,"1 MALE; 2 FEMALE; 1    2","",0,"MIXED"
"Irene Engilis","1 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",1,"1 MALE; 3 FEMALE; 1    3","",0,"MIXED"
"Erica Krimmel","1 MALE | 5 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"1 MALE; 5 FEMALE; 1    5","",0,"MIXED"
"Lesley Kennes","1 MALE, 1 FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",1,"1 MALE; 1 FEMALE; 1   1","",0,"MIXED"
"Tom Trombone","1 MALE; 1 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",2,"1 MALE; 1 FEMALE; 1   1","",0,"MIXED"
"Erick Alejandro García-Trejo","10 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",37,"10 UNDETERMINED","",0,"blank"
"Brian Schmidt","11 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",22,"11 UNDETERMINED","",0,"blank"
"Elizabeth Wommack","12 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",20,"12 UNDETERMINED","",0,"blank"
"Paul Robert Sweet","13 UNDETERMINED","UNKNOWN","","sex","hidden","EN",16,"13 UNDETERMINED","",0,"blank"
"Molly Hagemann","14 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",6,"14 UNDETERMINED","",0,"blank"
"Town Peterson","15 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",8,"15 UNDETERMINED","",0,"blank"
"Tamaki Yuri","16 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",7,"16 UNDETERMINED","",0,"blank"
"Jean Woods","17 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"17 UNDETERMINED","",0,"blank"
"Jeremiah Trimble","18 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"18 UNDETERMINED","",0,"blank"
"Erick Alejandro García-Trejo","19 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",1,"19 UNDETERMINED","",0,"blank"
"Kelly Cassidy","1ÈRE ANNÉE","UNKNOWN","","lifeStage","hidden","FR",1,"1ÈRE ANNÉE","",0,"blank"
"John Bates","2 FEMALE","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"2 FEMALE; 2","",0,"FEMALE"
"Jessica Tir","2 HEMBRAS","FEMALE","female","organismQuantity, organismQuantityType","hidden","ES",1,"2 HEMBRAS","",0,"blank"
"Angela Hornsby","2 INDETERMINADOS, 1 HEMBRA","UNKNOWN | FEMALE","female","sex","hidden","ES",1,"1 HEMBRA; 2 INDETERMINADOS  1","",0,"FEMALE"
"Mike Andersen ","2 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",9,"2 MALE; 1 FEMALE; 2    1","",0,"MIXED"
"Ildiko Szabo","2 MALE | 2 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",3,"2 MALE; 2 FEMALE; 2    2","",0,"MIXED"
"Irene Engilis","2 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",3,"2 MALE; 3 FEMALE; 2    3","",0,"MIXED"
"Brett Benz","2 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1160,"2 UNDETERMINED","",0,"blank"
"Jeremiah Trimble","20 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",5,"20 UNDETERMINED","",0,"blank"
"Emily Braker","21 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",2,"21 UNDETERMINED","",0,"blank"
"Jessica Tir","26 UNDETERMINED","UNKNOWN","","organismQuantity, organismQuantityType","hidden","EN",1,"26 UNDETERMINED","",0,"blank"
"Serina Brady","27 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"27 UNDETERMINED","",0,"blank"
"Laura Abraczinskas","3 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"3 MALE; 1 FEMALE; 3    1","",0,"MIXED"
"Tamaki Yuri","3 MALE | 3 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",1,"3 MALE; 3 FEMALE; 3    3","",0,"MIXED"
"Tom Trombone","3 UNDETERMINED","UNKNOWN","","sex","hidden","EN",1350,"3 UNDETERMINED","",0,"blank"
"Mike Andersen ","30 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"30 UNDETERMINED","",0,"blank"
"Elizabeth Wommack","38 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"38 UNDETERMINED","",0,"blank"
"Mike Andersen ","3MALE","MALE","","sex","hidden","EN",1,"3MALE","",0,"blank"
"Ildiko Szabo","4 MALE | 1 FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,"4 MALE; 1 FEMALE; 4    1","",0,"MIXED"
"Christopher C Witt","4 UNDETERMINED","UNKNOWN","","sex, organismQuantity","hidden","EN",1470,"4 UNDETERMINED","",0,"blank"
"Carla Cicero","40 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"40 UNDETERMINED","",0,"blank"
"Rachel Alsheikh","5 MALE | 2 FEMALE","MALE | FEMALE","mixed","sex, organismQuantity","hidden","EN",2,"5 MALE; 2 FEMALE; 5    2","",0,"MIXED"
"John Bates","5 UNDETERMINED","UNKNOWN","","sex","hidden","EN",756,"5 UNDETERMINED","",0,"blank"
"Molly Hagemann","6 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",254,"6 UNDETERMINED","",0,"blank"
"Mark B Robbins","7 UNDETERMINED","UNKNOWN","","sex","hidden","EN",93,"7 UNDETERMINED","",0,"blank"
"Irene Engilis","8 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",63,"8 UNDETERMINED","",0,"blank"
"Peter Hosner","9 MALE | 5 FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",1,"9 MALE; 5 FEMALE; 9    5","",0,"MIXED"
"Elizabeth Wommack","9 UNDETERMINED","UNKNOWN","","sex, dynamicProperties","hidden","EN",46,"9 UNDETERMINED","",0,"blank"
"Jessica Tir","AD.","blank","not specified","lifeStage","","EN",9,"AD","",0,"blank"
"Paul Robert Sweet","AD.+JUV.","UNKNOWN","","sex, lifeStage","hidden","EN",2,"AD  JUV","",0,"blank"
"Serina Brady","ADULT","blank","not specified","lifeStage","","EN",28,"ADULT","",0,"blank"
"Molly Hagemann","ASD","blank","not specified","lifeStage","","",1,"ASD","",0,"blank"
"Mimi Damwyk","BANDO","blank","not specified","sex","hidden","EN",4,"BANDO","",0,"blank"
"Serina Brady","C","blank","not specified","","","EN",1,"C","",0,"blank"
"Stephen Rogers","CASAL","","","sex, dynamicProperties","hidden","PT",4,"CASAL","",0,"blank"
"Jean Woods","COUPLE","MALE | FEMALE","mixed","sex","hidden","EN",495,"COUPLE","",0,"blank"
"Kelly Cassidy","D","UNKNOWN","","sex","hidden","",4,"D","",0,"blank"
"Town Peterson","DESCONEGUT","UNKNOWN","","sex","preferred","CA",66,"DESCONEGUT","",0,"blank"
"Tamaki Yuri","DESCONOCIDO","UNKNOWN","","sex","preferred","ES",52,"DESCONOCIDO","",0,"blank"
"Jessica Tir","DOUBTFUL GENDER","UNKNOWN","","sex","hidden","EN",814,"DOUBTFUL GENDER","",0,"blank"
"Andrew Engilis","E","blank","not specified","sex, dynamicProperties","","",2,"E","",0,"blank"
"Jessica Tir","F","FEMALE","female","sex","alternate","EN",194269,"F","1",194269,"blank"
"Tonya Haff","F ?","FEMALE","","sex, dynamicProperties","hidden","EN",1,"F","",0,"blank"
"Philip Unitt","F F","FEMALE","female","sex","hidden","EN",2,"F F","",0,"blank"
"Town Peterson","F IM.","FEMALE","female","sex, lifeStage","hidden","EN",2,"F IM","",0,"blank"
"Elizabeth Wommack","F IMAT.","FEMALE","female","sex, lifeStage","hidden","EN",1,"F IMAT","",0,"blank"
"Tom Trombone","F IMT.","FEMALE","female","sex, lifeStage","hidden","EN",1,"F IMT","",0,"blank"
"Lesley Kennes","F JOV.","FEMALE","female","sex, lifeStage","hidden","EN",9,"F JOV","",0,"blank"
"John Bates","F JUV.","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"F JUV","",0,"blank"
"Philip Unitt","F-GONADS","FEMALE","female","sex, dynamicProperties","hidden","EN",2886,"F GONADS","",0,"blank"
"Mimi Damwyk","F-PLUMAGE","FEMALE","female","sex, dynamicProperties","hidden","EN",11,"F PLUMAGE","",0,"blank"
"Andrew Engilis","F-VERIFIED","FEMALE","female","sex, dynamicProperties","hidden","EN",352,"F VERIFIED","",0,"blank"
"Paul Robert Sweet","F?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",3029,"F","",0,"blank"
"René Corado","F[?]","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"F","",0,"blank"
"Jessica Tir","F]","FEMALE","female","sex","hidden","EN",483,"F","",0,"blank"
"Kimball Garrett","F*","FEMALE","female","sex, dynamicProperties","hidden","EN",17,"F","",0,"blank"
"Kimball Garrett","F/M","MALE | FEMALE","mixed","sex","hidden","EN",1,"F M","",0,"blank"
"Elizabeth Wommack","FÊEMA","FEMALE","female","sex","hidden","PT",1,"FÊEMA","",0,"blank"
"Jeremiah Trimble","FÊMA","FEMALE","female","sex","hidden","PT",1,"FÊMA","",0,"blank"
"Andy Jones","FEMALE","FEMALE","female","sex","preferred","EN",1658728,NA,"1",1658728,"FEMALE"
